Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Other,2026-04-28 18:38:28,false,"Weight lift - chest and biceps","0.00","212","00:54:21","104","130","0.6","8","194","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","232","--","--","-2","No","00:00:34.8","48","--","--","--","--","--","--","--","--","00:00:00","00:54:22","334","369"
Running,2026-04-27 18:39:02,false,"Evening run","3.77","407","00:32:21","186","198","5.0","175","183","8:34","7:32","226","230","1.06","8.2","8.7","247","8:31","305","0.0","299","420","--","--","--","5,704","--","--","-11","No","00:06:59.7","4","--","--","--","--","--","--","--","--","00:32:12","00:33:41","392","489"
Running,2026-04-20 18:35:20,false,"Evening run","3.57","384","00:32:07","179","196","4.6","175","185","9:00","5:47","161","177","1.01","8.4","8.4","251","8:58","285","0.0","279","455","--","--","--","5,650","--","--","-8","No","00:04:15.7","4","--","--","--","--","--","--","--","--","00:31:54","00:35:13","441","508"
Other,2026-04-16 20:12:27,false,"Weight lift - core","0.00","150","00:32:23","108","127","0.6","4","143","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","116","--","--","-2","No","00:00:24.4","36","--","--","--","--","--","--","--","--","00:00:00","00:32:23","404","456"
Strength Training,2026-04-16 19:07:13,false,"Weight lift - chest and biceps","0.00","270","00:57:22","112","154","1.4","9","187","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","250","--","--","-4","No","00:00:28.1","48","--","--","--","--","--","--","--","--","00:00:00","01:00:29","382","524"
Running,2026-04-15 19:11:04,false,"Evening run","4.17","463","00:40:38","171","185","4.2","178","188","9:44","8:32","128","131","0.92","8.6","7.9","253","9:45","259","0.0","257","334","--","--","--","7,248","--","--","-3","No","00:01:35.9","5","--","--","--","--","--","--","--","--","00:40:33","00:40:56","407","498"
Walking,2026-04-15 18:55:19,false,"Evening walk","0.59","55","00:15:20","104","120","0.2","84","122","26:01","20:32","10","3","0.74","--","--","--","--","--","0.0","--","--","--","--","--","1,656","--","--","--","No","00:15:20","1","--","--","--","--","--","--","--","--","00:15:03","00:15:20","410","427"
Other,2026-04-14 20:04:14,false,"Weight lift - core","0.00","160","00:29:33","113","132","0.9","5","140","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","56","--","--","-1","No","00:00:30.3","36","--","--","--","--","--","--","--","--","00:00:00","00:29:33","1,010","1,015"
Strength Training,2026-04-14 19:07:19,false,"Weight lift - back and triceps","0.00","302","00:52:38","119","143","1.9","4","187","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","320","--","--","-2","No","00:00:08.1","48","--","--","--","--","--","--","--","--","00:00:00","00:52:38","1,003","1,020"
Running,2026-04-13 18:17:01,false,"Evening run","3.14","341","00:29:30","169","189","4.0","175","184","9:24","7:06","164","213","0.97","8.6","8.4","254","9:23","276","0.0","270","402","--","--","--","5,166","--","--","-3","No","00:01:12.9","4","--","--","--","--","--","--","--","--","00:29:20","00:31:03","448","575"
