Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
05/04/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
05/04/2026,Ground Beef Rice Bowl,Recipe,Dinner,1.0,Serving,609,0,32.31,30.67,46.56,12.32,0,2.17,106.56,374.90
05/04/2026,Parfait Cup,Recipe,Dinner,1.0,Serving,340,0,4.50,43.77,32.48,0.50,20.48,3.50,38.29,166.41
05/04/2026,Creatine Gummies (5 gummies=5g creatine),GummyBear,Snacks,1.0,Serving,50,0,n/a,n/a,10,n/a,10,n/a,n/a,50
05/04/2026,"Fruit, Berry Medley, Frozen",Blackberry,Snacks,140.0,Grams,70,0,0.50,1,17,0,10,6,0,0
05/04/2026,"Nuts, Pistachio, Salted, Dry Cooked, in Shells",Pistachio,Snacks,21.0,Grams,119,0,9.62,4.42,5.79,1.19,1.63,2.16,0,89.88
05/03/2026,Crawfish Boiled In Shell,Lobster,Lunch,2.0,Pounds,250,0,1,18,n/a,n/a,n/a,n/a,129.33,263
05/03/2026,Crawfish Boil Red Potatoes,Potato,Lunch,2.0,Servings,220,0,n/a,4,52,n/a,3,5,n/a,600
05/03/2026,Broiled Bone In Blade Cut Pork Chops,PorkChop,Lunch,1.0,Serving,245,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
05/03/2026,Lime Frozen Fruit Bar,Popsicle,Snacks,1.0,Serving,80,0,0,0,20,0,20,0,0,0
05/03/2026,Stroopwafel Vanilla Ice Cream Sandwich,IceCreamSandwich,Snacks,1.0,Serving,170,0,8,3,23,4,14,0,15,95
05/03/2026,"Nuts, Pistachio, Salted, Dry Cooked, in Shells",Pistachio,Snacks,21.0,Grams,119,0,9.62,4.42,5.79,1.19,1.63,2.16,0,89.88
05/02/2026,Chai Latte,Recipe,Breakfast,1.0,Serving,150,0,5.75,5,18.50,3.75,18,0,25,85
05/02/2026,Chocolate Iced Glazed Donut,Donut,Breakfast,2.0,Each,480,0,22,6,84,n/a,n/a,n/a,n/a,n/a
05/02/2026,Chicken Tikka Masala,Chicken,Lunch,1.0,Serving,498,0,32.20,41.30,12.20,17.90,5.90,2.70,206.30,1425.50
05/02/2026,"White Rice, Steamed",Rice,Lunch,1.0,Cup,285,0,0,4.71,62.39,0,1.18,1.18,0,0
05/02/2026,Chicken Tikka Masala,Chicken,Dinner,1.0,Serving,498,0,32.20,41.30,12.20,17.90,5.90,2.70,206.30,1425.50
05/02/2026,"White Rice, Steamed",Rice,Dinner,1.0,Cup,285,0,0,4.71,62.39,0,1.18,1.18,0,0
