Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18313286805,"Apr 29, 2026, 11:45:42 PM",Evening run,Run,"",1826,4.98,199.0,110,false,,Nike Streakfly,activities/19416877364.fit.gz,,,1826.0,1685.0,4982.8,5.56,2.957,50.0,53.0,125.0,151.2,18.5,0.0,,,97.0,90.0,199.0,178.0,,275.0,327.0,,,110.0,460185.0,,,,,,,,266.0,1827.0,,,0.0,,1.0,5100.7,,,,,,,,,,,,,,,,25076153.0,,,,,,,,,,,2.729,0.0,,,,5022.0,0.0,,168.0,182.0,3.027,,,0.0,0.0,,,,0.0,,,,""
18299902424,"Apr 28, 2026, 11:38:28 PM",Evening weight lift,Weight Training,"",3262,0,128.0,9,false,,,activities/19403386918.fit.gz,,,3262.0,3262.0,0.0,0.0,0.0,0.0,0.0,101.8,112.6,0.0,0.0,,,88.0,55.0,128.0,103.0,,,212.0,,,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,232.0,0.0,0.0,,,,0.0,,,,media/0102B344-6FA1-47EB-A082-B73F76A38790.jpg
18285733374,"Apr 27, 2026, 11:39:02 PM",Evening run,Run,"",2020,6.07,198.0,144,false,,Nike Streakfly,activities/19389125528.fit.gz,,,2020.0,1940.0,6072.1,3.8,3.13,69.0,70.0,119.6,149.0,46.2,0.0,,,91.0,88.0,198.0,186.0,,300.0,407.0,,,144.0,580095.0,,,,,,,,297.0,2021.0,,,0.0,,1.0,6269.9,,,,,,,,,,,,,,,,25076153.0,,,,,,,,,,,3.006,0.0,,,,5704.0,0.0,,231.0,203.0,3.232,,,0.0,0.0,,,,0.0,,,,""
18191195324,"Apr 20, 2026, 11:35:20 PM",Evening run,Run,"",2113,5.74,196.0,132,false,,Nike Streakfly,activities/19293786529.fit.gz,,,2113.0,1927.0,5748.6,4.8,2.983,49.0,54.0,134.4,154.8,29.8,0.0,,,92.0,88.0,196.0,179.0,,282.0,384.0,,,132.0,539789.0,,,,,,,,272.0,2114.0,,,0.0,,1.0,5855.4,,,,,,,,,,,,,,,,25076153.0,,,,,,,,,,,2.721,0.0,,,,5650.0,0.0,,203.0,186.0,3.039,,,0.0,0.0,,,,0.0,,,,""
18139762789,"Apr 17, 2026, 1:12:27 AM",Evening core,Workout,"",1942,0,127.0,6,false,,,activities/19241831956.fit.gz,,,1942.0,1942.0,0.0,0.0,0.0,0.0,0.0,123.2,139.0,0.0,0.0,,,71.0,61.0,127.0,108.0,,,150.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,116.0,0.0,0.0,,,,0.0,,,,media/196D92EB-BCFA-4165-B55D-95E77B581911.jpg
18139516234,"Apr 17, 2026, 12:07:13 AM",Evening weight lift,Weight Training,"",3628,0,154.0,13,false,,,activities/19241583560.fit.gz,,,3628.0,3628.0,0.0,0.0,0.0,0.0,0.0,116.4,159.8,0.0,0.0,,,93.0,59.0,154.0,111.0,,,270.0,,,13.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,250.0,0.0,0.0,,,,0.0,,,,media/9C2F6D6A-25ED-4E24-8504-B2B6C4A9CD4E.jpg
18126095072,"Apr 16, 2026, 12:11:04 AM",Evening run,Run,🎵 tn 🎵,2456,6.71,185.0,143,false,,Nike Streakfly,activities/19228060867.fit.gz,,,2456.0,2437.0,6712.8,3.78,2.755,39.0,40.0,124.2,151.8,9.1,0.0,,,94.0,89.0,185.0,171.0,,257.0,463.0,,,143.0,626996.0,,,,,,,,256.0,2457.0,,,0.0,,1.0,6798.6,,,,,,,,,,,,,,,,25076153.0,,,,,,,,,,,2.733,0.0,,,,7248.0,0.0,,209.0,175.0,2.79,,,0.0,0.0,,,,0.0,,,,""
18125743003,"Apr 15, 2026, 11:55:19 PM",Evening walk,Walk,"",920,0.94,120.0,2,false,,,activities/19227707530.fit.gz,,,920.0,920.0,948.3,1.471,1.031,3.0,1.0,125.0,130.0,8.0,0.4,,,60.0,55.0,120.0,104.0,,,55.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.031,0.0,,,,1656.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18112902962,"Apr 15, 2026, 1:04:14 AM",Evening core,Workout,"",1773,0,132.0,6,false,,,activities/19214769505.fit.gz,,,1773.0,1773.0,0.0,0.0,0.0,0.0,0.0,308.0,309.4,0.0,0.0,,,,,132.0,112.0,,,160.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,56.0,0.0,0.0,,,,0.0,,,,media/38A4944A-EC55-47D1-92C8-F4FF9CDD9C7E.jpg
18112648382,"Apr 15, 2026, 12:07:19 AM",Evening weight lift,Weight Training,"",3158,0,141.0,13,false,,,activities/19214513553.fit.gz,,,3158.0,3158.0,0.0,0.0,0.0,0.0,0.0,305.6,310.8,0.0,0.0,,,62.0,53.0,141.0,119.0,,,302.0,,,13.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,320.0,0.0,0.0,,,,0.0,,,,media/0055C809-1F38-47F9-A119-BFADC336395D.jpg
