Comment Date,Comment
"Apr 15, 2023, 2:20:52 PM",Good luck brother! 
"Jul 15, 2023, 9:46:45 PM",Crushing it!! 
"Jul 16, 2023, 3:38:24 AM",One hella view! 
"Aug 6, 2023, 4:47:41 PM",😳😳😳 
"Aug 14, 2023, 2:59:40 AM",Go vols!!!
"May 17, 2024, 3:01:42 AM",How goals did you scored in this game?! 🤣 
"Feb 27, 2025, 11:38:58 PM",Slow a$$ 🐢!
"Mar 1, 2025, 6:46:10 PM",Letssss goooo! You beat Jack Bell! This is the only thing that matters!!! 
"Mar 8, 2025, 8:28:43 PM",Youre the BEST!!!! Haha
"Mar 10, 2025, 1:33:57 AM",Still not 13.1 miles!!! 
"Mar 10, 2025, 2:04:29 PM",🐢
"Mar 12, 2025, 5:13:47 PM",Who hurt you?! 🤣 
"Mar 19, 2025, 5:27:44 PM",Letsssss goooooo!!! 
"Mar 31, 2025, 12:55:25 AM",Who’s bae?! 
"Apr 1, 2025, 12:42:06 PM",😳 who hurt you?! 
"Apr 2, 2025, 2:21:56 AM",Letsss gooo!!!
"Apr 9, 2025, 12:38:16 AM",Caught you on your run! Keep it up man! 
"Apr 10, 2025, 12:58:07 AM",Is this pace right?!?! Looks suspicious 🤔
"Apr 10, 2025, 1:09:04 AM",The baby has really slow down your pace man! 
"Apr 11, 2025, 12:02:58 PM","Great rim job, Alex Balli ! "
"Apr 12, 2025, 7:14:19 PM",Letssss go!!!! 
"Apr 13, 2025, 8:18:24 PM",Great job! One climb at a time! 
"Apr 15, 2025, 1:07:41 AM",You two look so HAPPY!!! 
"Apr 17, 2025, 4:29:49 PM",Solid crew! 
"Apr 18, 2025, 1:31:58 AM",😳 congrats on the 50k man!!! 
"Apr 22, 2025, 12:10:01 PM",Great job! Proud of you! 
"Apr 26, 2025, 10:52:03 PM",So proud of you! Such a huge achievement!
"Apr 26, 2025, 10:52:30 PM",Train me for my full next year! 🤣
"May 13, 2025, 1:00:04 PM","Are you taking after Grace Bishop ? This looks like her distance, time, and pace. 🤣 "
"Jun 5, 2025, 1:53:38 AM",Those shoes are a keeper! 
"Jun 5, 2025, 1:57:37 AM",The pics 🤣
"Jun 5, 2025, 1:58:07 AM",🤣🤣🤣💀
"Jun 5, 2025, 12:03:45 PM",Thanks! Just another type a 🙋🏻‍♂️ 
"Jun 9, 2025, 12:18:55 AM",Welcome back! 
"Jun 22, 2025, 1:39:19 AM",Awesome job! 
"Jun 24, 2025, 2:20:35 PM",Letsss gooo! 
"Jun 25, 2025, 12:09:56 PM",😅 i dont know if i really ran or swam yesterday 
"Jun 26, 2025, 1:50:03 AM",Letsss gooo! Great run! 
"Jun 27, 2025, 12:45:51 PM",5 miler! Letsss gooo! 
"Jun 28, 2025, 4:32:15 PM",😳
"Jun 30, 2025, 10:54:42 AM",Hit a wall at mile 10 🙈🤷🏻‍♂️ 
"Jun 30, 2025, 1:03:49 PM",Jake Still 😅 
"Jul 1, 2025, 1:06:45 PM",Under 9 minute pace! Letsss gooo!! 
"Jul 4, 2025, 1:35:30 PM",🤣🤣🤣💀
"Jul 11, 2025, 1:41:10 AM","Lets gooo!!! For those going to mccabe park tomorrow, do yall wanna grab coffee and bagels at star bagels afterwards? "
"Jul 11, 2025, 1:46:31 PM",Letsss goooo!
"Jul 11, 2025, 3:42:28 PM",Only in brentwood though. 
"Jul 11, 2025, 6:51:09 PM",The flop 🤣 
"Jul 12, 2025, 2:23:19 PM",Letssss gooo!
"Jul 13, 2025, 1:51:28 AM",Can Bliss come join next time??? 
"Jul 14, 2025, 1:02:24 PM",7 minute pace?! 🔥 letsss goooo!! 
"Jul 15, 2025, 12:49:48 AM",Cooking 👩🏻‍🍳
"Jul 16, 2025, 12:49:51 PM",🍊🏈🏟️!!!
"Jul 17, 2025, 1:05:17 AM",Letsss goooo!!!
"Jul 17, 2025, 1:05:44 AM",🤣🤣🤣
"Jul 17, 2025, 1:26:22 PM",5 miles?! Who dis?!
"Jul 17, 2025, 1:53:01 PM",🔥🔥🔥
"Jul 18, 2025, 2:41:33 PM",🤣🤣🤣
"Jul 18, 2025, 9:21:41 PM",😳
"Jul 19, 2025, 4:04:52 PM",Wow shes faster than me! 😳 
"Jul 19, 2025, 4:05:18 PM",🐐
"Jul 19, 2025, 4:46:04 PM",Way to reach the 200 miles milestone this week everyone! 
"Jul 22, 2025, 10:32:10 PM",Solid run 😬🤣 
"Jul 28, 2025, 5:18:25 PM",No one is catching up to this walking distance and pace. You’re setting the standards high for walking! 🤣 
"Jul 29, 2025, 11:50:57 AM",Never mind i spoke a little too early. He just logged in double digits miles this morning. I apologize deeply for the false hope today guys. 😅 
"Jul 29, 2025, 5:59:12 PM",Sorry to hear that. Praying for full and speedy recovery. 
"Aug 4, 2025, 12:25:46 PM",Letssss goooo!
"Aug 8, 2025, 2:44:06 PM",Okay! I see ya Jake! Letsss goooo! 
"Aug 9, 2025, 10:31:52 PM",😳
"Aug 10, 2025, 4:36:37 PM",Domenic Antonio letsss gooo! Coming in clutch for the group!
"Aug 14, 2025, 3:54:10 PM",Its always a BIG day when Domenic Antonio shows up and leads pacing! 🫠
"Aug 14, 2025, 3:56:06 PM",Or maybe Robert Ross should lead pacing 🤔. Hes already leading us in mileage 💁🏻‍♂️ 
"Aug 14, 2025, 6:23:08 PM",Hoping pastor Noah Herrin will make an appearance tomorrow and run with us. We’re in need of someone to lead 😅 
"Aug 14, 2025, 6:23:52 PM",Also DO NOT let Brandon Bonsiero take the group selifes/photos tomorrow!!! 
"Aug 17, 2025, 1:45:36 PM",🫠🫠
"Aug 18, 2025, 12:17:04 PM",OKAY. I see ya putting in the work! 
"Aug 19, 2025, 7:47:15 PM",Happy birthday big sexy!!! Go vols!!! 
"Aug 20, 2025, 1:35:16 PM","How much are you bench pressing nowadays, Noah Herrin? 🤣 "
"Aug 23, 2025, 12:47:07 AM",4+ miles!!! Letssss goooo!!! 
"Aug 23, 2025, 12:48:44 AM",👏
"Aug 26, 2025, 1:32:50 AM",Letsss gooo!!! 
"Aug 26, 2025, 6:58:09 PM",🤣
"Aug 28, 2025, 1:01:36 AM",Flyby 👋 
"Aug 28, 2025, 2:10:24 PM",Casual
"Aug 29, 2025, 10:03:23 AM",Thats my song!!! 
"Aug 29, 2025, 1:02:29 PM",GO VOLS!!! 🍊🏈🏟️
"Aug 29, 2025, 1:54:14 PM",BOSS RUN! 
"Aug 30, 2025, 10:20:18 PM",This is nuts!!! 
"Sep 2, 2025, 11:44:39 PM",Let’s go! 
"Sep 12, 2025, 1:34:15 AM",Letssss goooo!
"Sep 16, 2025, 1:32:34 AM",🥺
"Sep 16, 2025, 3:00:10 AM",10k?! 😳 
"Sep 16, 2025, 1:41:13 PM",😢 just the worst! 
"Sep 18, 2025, 1:21:35 PM",So proud of you to get a better pace than Brandon Bonsiero ! 
"Oct 10, 2025, 1:39:32 PM",Letssss goooo!!! 
"Oct 10, 2025, 5:50:25 PM",👏👏👏
"Oct 11, 2025, 12:24:40 AM",Solid run! Looks like one of Grace Bishop’s runs 🤣 
"Oct 11, 2025, 6:34:03 PM",Letsssss gooooo!!!!
"Oct 11, 2025, 6:34:17 PM",Letssss goooo!!!0
"Oct 24, 2025, 11:59:40 AM",Solid walk. Steady heart rate. Proud of you! 😂
"Oct 25, 2025, 3:19:38 PM",Lets goooo! 
"Oct 25, 2025, 3:19:57 PM",Great job! 
"Oct 25, 2025, 5:02:36 PM",Thank you! 
"Oct 25, 2025, 5:32:55 PM",Letssss goooooo!!
"Oct 29, 2025, 12:48:36 PM",Great job!
"Nov 10, 2025, 4:51:25 PM",Pretty girl!!! (Aria… in case there’s any confusion who that was for) 
"Jan 2, 2026, 8:16:13 PM",Letssss goooo! Solid run! 
"Jan 3, 2026, 6:19:59 PM",80 miles?! 😳
"Jan 6, 2026, 10:00:33 PM",☝️ more like barbecuing. Nice long run!  
"Feb 21, 2026, 7:03:08 PM",Letsss gooo! Great job man! 
"Feb 22, 2026, 11:12:48 PM",Nice work! 
"Mar 30, 2026, 6:33:50 PM",Alright! Okay! I see you running wild out there! 
"Apr 5, 2026, 7:13:41 PM",Soooo many doggies!!!! 
"Apr 11, 2026, 3:58:23 PM",Letsss gooo!!! Great 10K!!!
"Apr 17, 2026, 11:37:27 PM",Whose golden is that?!?! 😍 
"Apr 21, 2026, 1:35:09 AM",Letssss gooo!!! 
"Apr 25, 2026, 4:55:42 PM",PROUD OF YOU!!! 
"Apr 25, 2026, 4:56:31 PM",Let’s gooo!!! 
"Apr 25, 2026, 4:56:48 PM",NICE!!! 
"Apr 25, 2026, 4:57:03 PM", LET’S GOOO!!! 
"Apr 26, 2026, 7:27:43 PM",GREAT RUN!!! 
"Apr 29, 2026, 11:21:46 PM",Great walk! Solid performance! 
"Apr 29, 2026, 11:22:13 PM",Nice brother! 
"Apr 30, 2026, 2:05:08 AM",Im back! Haha 
