Follower Athlete ID,Follow Status,Favorite Status
49024276,Accepted,""
110237285,Accepted,""
204840845,Accepted,""
18604431,Accepted,""
143414006,Accepted,""
127034012,Accepted,""
200420448,Accepted,""
192976169,Accepted,""
143219699,Accepted,""
185976203,Accepted,""
74320577,Accepted,""
95313449,Accepted,""
156507618,Accepted,""
141304039,Accepted,""
182008107,Accepted,""
163929410,Accepted,""
16026407,Accepted,""
128811120,Accepted,""
150568370,Accepted,""
95723880,Accepted,""
51364303,Accepted,""
137984475,Accepted,""
23262504,Accepted,""
37632398,Accepted,""
134113293,Accepted,""
52402929,Accepted,""
69179400,Accepted,""
166519912,Accepted,""
66825998,Accepted,""
44413952,Accepted,""
166537876,Accepted,""
152692119,Accepted,""
136352544,Accepted,""
78412173,Accepted,""
110511631,Accepted,""
115454910,Accepted,""
63657816,Accepted,""
127488239,Accepted,""
180919962,Accepted,""
180792904,Accepted,""
176888794,Accepted,""
44530212,Accepted,""
168594284,Accepted,""
133297177,Accepted,""
19794090,Accepted,""
172767490,Accepted,""
118511074,Accepted,""
131923456,Accepted,""
150700891,Accepted,""
165384890,Accepted,""
54444951,Accepted,""
100347843,Accepted,""
74529594,Accepted,""
106781435,Accepted,""
175688348,Accepted,""
100850146,Accepted,""
160049475,Accepted,""
162858671,Accepted,""
20271574,Accepted,""
88036711,Accepted,""
156349092,Accepted,""
156404397,Accepted,Boost Activities in Feed | Subscribed to Activity Notifications on Upload
155176968,Accepted,""
168515095,Accepted,""
15454129,Accepted,""
12245633,Accepted,""
48751818,Accepted,""
51733764,Accepted,""
97905074,Accepted,""
49006450,Accepted,""
148213760,Accepted,""
22310388,Accepted,""
19256603,Accepted,""
59337273,Accepted,""
128894917,Accepted,""
93417529,Accepted,""
140095229,Accepted,""
129147166,Accepted,""
14130563,Accepted,""
4252902,Accepted,""
89984005,Accepted,""
4875138,Accepted,""
12220124,Accepted,""
47826268,Accepted,""
40478303,Accepted,""
106934379,Accepted,""
34083637,Accepted,""
49048338,Accepted,""
53111017,Accepted,""
128951344,Accepted,""
68659611,Accepted,""
12221316,Accepted,""
20436175,Accepted,""
21764966,Accepted,""
30978588,Accepted,""
99571066,Accepted,""
26755013,Accepted,""
98933846,Accepted,""
34443339,Accepted,""
11126906,Accepted,""
50278707,Accepted,""
50510911,Accepted,""
29149825,Accepted,""
23246855,Accepted,""
26591199,Accepted,""
7069920,Accepted,""
88646055,Accepted,""
