Join Date,Name,Completed
"Apr 15, 2025, 7:48:26 PM",April Run 100K Challenge,true
"Apr 16, 2025, 12:47:52 PM",April Half Marathon Challenge,true
"Apr 16, 2025, 12:48:35 PM",April Ten Days Active Challenge,true
"Apr 16, 2025, 12:48:49 PM",April 400-Minute Challenge,true
"Apr 16, 2025, 12:49:02 PM",April 10K Challenge,true
"Apr 29, 2025, 10:06:41 AM",May 10K Challenge,true
"Apr 29, 2025, 10:06:43 AM",May Half Marathon Challenge,true
"Apr 29, 2025, 10:06:45 AM",May Run 100K Challenge,false
"Apr 29, 2025, 10:06:49 AM",May 400-Minute Challenge,true
"Apr 29, 2025, 10:06:51 AM",May Ten Days Active Challenge,true
"Apr 29, 2025, 10:07:07 AM","Nike BIG, BIGGER, BIGGEST Challenge",false
"Apr 29, 2025, 10:08:11 AM",Performance Bicycle Spring Challenge,true
"May 29, 2025, 7:10:01 PM",June 10K Challenge,true
"May 29, 2025, 7:10:03 PM",June Run 100K Challenge,true
"May 29, 2025, 7:10:07 PM",June Half Marathon Challenge,true
"May 29, 2025, 7:10:08 PM",June Ten Days Active Challenge,true
"May 29, 2025, 7:10:10 PM",June Walk 50K Challenge,false
"May 29, 2025, 7:10:13 PM",June 400-Minute Challenge,true
"May 29, 2025, 7:11:13 PM",June Elevation Challenge,false
"May 29, 2025, 7:11:34 PM",June 5K x Brooks Challenge,true
"Jun 1, 2025, 12:15:02 PM",The Runna Stay Consistent Challenge,true
"Jun 1, 2025, 12:15:08 PM",Smoothie King X TCS NYC Bib Giveaway,true
"Jun 1, 2025, 12:16:10 PM",Rivian Summer Recharge Challenge,true
"Jun 30, 2025, 2:11:54 PM",Le Col Level Up Challenge,true
"Jun 30, 2025, 2:12:35 PM",Chase Summer by GOREWEAR,true
"Jun 30, 2025, 2:12:55 PM",July Run 100K Challenge,true
"Jun 30, 2025, 2:13:00 PM",July Ten Days Active Challenge,true
"Jun 30, 2025, 2:13:06 PM",July Half Marathon Challenge,true
"Jun 30, 2025, 2:13:10 PM",July Walk 50K Challenge,false
"Jun 30, 2025, 2:13:15 PM",July 400-Minute Challenge,true
"Jun 30, 2025, 2:13:18 PM",July Elevation Challenge,true
"Jun 30, 2025, 2:13:26 PM",Strava Streaks Challenge July 2025,true
"Jun 30, 2025, 2:13:38 PM",July Run 300K Challenge,false
"Jun 30, 2025, 3:11:02 PM",July 5K x Brooks Challenge,true
"Jun 30, 2025, 3:11:03 PM",July 10K x Runna Challenge,true
"Aug 5, 2025, 2:11:24 AM",August 5K x Brooks Challenge,true
"Aug 5, 2025, 2:11:25 AM",August 10K x Runna Challenge,true
"Aug 5, 2025, 2:11:33 AM",Get Sponsored By The Feed,true
"Aug 5, 2025, 2:11:43 AM",Lone River's Variety Pack Challenge,true
"Aug 5, 2025, 2:11:49 AM",Set Your PACE with Clarks,false
"Aug 5, 2025, 2:11:55 AM",CLIF BAR Raise Your Bar Summer Rewards,true
"Aug 5, 2025, 2:12:09 AM",August Run 100K Challenge,true
"Aug 5, 2025, 2:12:10 AM",August Ten Days Active Challenge,true
"Aug 5, 2025, 2:12:11 AM",August Half Marathon Challenge,true
"Aug 5, 2025, 2:12:12 AM",August Walk 50K Challenge,false
"Aug 5, 2025, 2:12:14 AM",August Elevation Challenge,false
"Aug 5, 2025, 2:12:15 AM",August 400-Minute Challenge,true
"Aug 5, 2025, 2:12:17 AM",August Run 300K Challenge,false
"Apr 12, 2026, 10:59:05 PM",April 5K x Brooks Challenge,true
"Apr 12, 2026, 10:59:06 PM",April Ten Days Active Challenge,false
"Apr 12, 2026, 10:59:08 PM",April 180 Minute Sweat Challenge,false
"Apr 12, 2026, 10:59:12 PM",April Half Marathon Challenge,false
"Apr 12, 2026, 10:59:16 PM",April 10K Challenge,false
