Post Date,Post Summary,Post,Post URL,Photos
"Dec 27, 2025, 1:18:07 AM","",Way runners! We only have a couple more days of this nice weather before “late winter” is coming! Im running at shelby park tomorrow morning around 9am if anyone wanna link up and put in a few miles (and smiles)!,"",""
"Nov 10, 2025, 2:22:59 AM","","","",media/F8007EA5-5004-4C26-88B9-AF462E2C79F8.jpg
"Aug 24, 2025, 4:36:24 PM","",We’re at 298 miles as a group. Does anyone wanna step up and get us to/over 300 miles? I cant run today 😢,"",""
"Aug 21, 2025, 5:29:01 PM","","Lets make run club great again! Lets get over 200 miles as a group tomorrow! Lets show up and show out guys!

Cant wait to run with yall! Love this community!","",""
"Aug 10, 2025, 12:59:53 PM","",Good morning guys! We’re at 288 miles total as a group this morning! Let’s hit 300 to finish out the week strong!,"",""
"Jul 29, 2025, 10:53:54 AM","",Hey guys! Good news! We all have a running chance at the first place crown this week. Robert hasn’t put in many miles. 🤣,"",""
"Jul 25, 2025, 2:02:44 AM","","Cant wait to see y’all bright and early in the hot and humid heat tomorrow morning! 

5:30am
4601 Murphy Road","",""
"Jul 18, 2025, 2:40:22 PM","",We’re at 174 miles so far this week guys. Let’s hit 200 miles!,"",""
"Jul 14, 2025, 2:28:20 PM","",It’s only monday but everyone is putting in the miles (and smiles) already! Way to start strong guys! Keep it up!,"",""
"Jun 30, 2025, 10:20:27 PM","",Hey guys! Just sharing my go-to 5k and 10k routes below if anyone wanna use them.,"",""
"Jun 30, 2025, 10:14:26 PM","",10k-ish run,https://www.strava.com/routes/3374869644571618048,""
"Jun 30, 2025, 10:14:02 PM","",5k-ish run,https://www.strava.com/routes/3374865553691945728,""
